	State	Area code	Total day minutes	Total day calls	International plan	Voice mail plan	Churn Prediction	False_Probability	True_Probability
168	AZ	415	281.1	88	Yes	Yes	False	0.514	0.486
169	VT	415	137.8	86	No	No	False	0.802	0.198
170	VA	408	148.5	126	Yes	No	True	0.284	0.716
171	NE	510	194.0	118	No	No	False	0.724	0.276
172	WA	510	130.9	115	No	Yes	False	0.736	0.264
173	NM	408	185.3	127	No	No	False	0.908	0.092
174	FL	415	119.1	117	No	No	False	0.69	0.31
175	SC	408	322.5	106	No	No	True	0.214	0.786
176	IN	510	216.2	107	No	No	False	0.848	0.152
177	FL	415	283.9	98	No	Yes	False	0.85	0.15
178	ND	415	125.9	101	No	Yes	False	0.77	0.23
179	MA	408	199.6	89	Yes	No	True	0.294	0.706
180	MO	415	212.7	73	No	Yes	False	0.898	0.102
181	WY	408	183.6	133	No	No	False	0.952	0.048
182	CA	510	163.6	132	No	Yes	False	0.768	0.232
183	NE	510	180.9	114	Yes	No	True	0.484	0.516
184	ID	510	270.8	96	No	Yes	False	0.762	0.238
185	VT	415	178.4	72	No	No	False	0.906	0.094
186	MO	415	244.8	91	Yes	No	True	0.334	0.666
187	VA	415	209.9	113	No	Yes	False	0.96	0.04
188	VT	408	213.0	95	No	No	False	0.924	0.076
189	MS	415	144.8	107	No	No	False	0.888	0.112
190	KY	408	135.4	134	No	No	False	0.714	0.286
191	WV	510	67.7	68	No	No	False	0.84	0.16
192	DC	415	224.4	121	No	No	False	0.752	0.248
193	IA	510	153.5	81	No	No	False	0.806	0.194
194	MN	415	174.4	75	No	Yes	False	0.742	0.258
195	VT	415	153.8	89	No	No	True	0.39	0.61
196	AK	415	175.7	93	No	Yes	False	0.85	0.15
197	CA	510	155.9	123	No	No	False	0.774	0.226
198	MS	415	154.4	109	No	Yes	False	0.886	0.114
199	AR	415	209.7	73	No	Yes	False	0.91	0.09
200	NJ	415	212.1	95	No	No	False	0.742	0.258
201	NJ	510	152.0	63	No	Yes	False	0.864	0.136
202	TN	415	160.9	95	No	No	False	0.742	0.258
203	DE	510	334.3	118	No	No	True	0.2	0.8
204	TX	510	188.9	94	No	No	False	0.88	0.12
205	MI	415	192.6	97	No	Yes	False	0.854	0.146
206	MS	415	217.3	91	No	No	False	0.854	0.146
207	OK	510	169.3	88	No	Yes	False	0.934	0.066
208	ND	510	216.7	117	Yes	No	False	0.574	0.426
209	ND	510	246.4	83	No	No	False	0.622	0.378
210	NY	415	156.2	93	No	No	False	0.906	0.094
211	WV	415	146.4	74	No	No	False	0.894	0.106
212	WV	408	167.8	91	No	No	False	0.91	0.09
213	DC	415	252.9	129	No	Yes	False	0.704	0.296
214	MN	510	201.8	82	No	No	False	0.936	0.064
215	DE	408	94.4	80	No	No	False	0.794	0.206
216	VT	510	190.4	74	No	No	False	0.842	0.158
217	NY	510	243.2	109	Yes	No	True	0.482	0.518
218	TX	408	176.4	115	No	No	True	0.468	0.532
219	OR	415	178.1	109	No	No	False	0.848	0.152
220	KS	408	201.4	101	No	No	False	0.882	0.118
221	ND	415	174.5	101	No	Yes	False	0.914	0.086
222	PA	408	205.3	122	No	No	False	0.836	0.164
223	NY	510	143.2	77	No	No	False	0.72	0.28
224	WY	415	25.9	119	No	Yes	False	0.966	0.034
225	NY	415	154.2	123	No	No	True	0.212	0.788
226	ME	408	322.3	113	No	No	True	0.444	0.556
227	SD	415	215.6	115	No	No	False	0.828	0.172
228	UT	510	208.8	101	Yes	No	True	0.354	0.646
229	AK	415	245.2	105	No	No	False	0.684	0.316
230	RI	415	98.4	78	No	No	False	0.664	0.336
231	AL	415	217.8	93	No	No	False	0.668	0.332
232	DE	415	179.9	97	No	Yes	False	0.796	0.204
233	ID	415	140.4	112	No	No	False	0.85	0.15
234	MO	510	189.0	100	No	No	False	0.974	0.026
235	IL	415	155.9	95	No	No	False	0.692	0.308
236	FL	408	199.2	122	Yes	No	True	0.324	0.676
237	KY	415	157.1	79	No	No	False	0.88	0.12
238	MI	415	154.4	165	No	No	True	0.252	0.748
239	NY	415	166.4	85	No	No	False	0.904	0.096
240	KS	415	184.1	78	No	Yes	False	0.924	0.076
241	PA	415	35.1	62	No	No	False	0.85	0.15
242	MI	415	179.4	113	No	Yes	False	0.972	0.028
243	NH	408	216.7	30	No	No	False	0.78	0.22
244	WA	415	151.6	117	No	No	False	0.938	0.062
245	NY	415	173.6	110	No	No	False	0.676	0.324
246	MD	415	106.6	76	Yes	No	False	0.67	0.33
247	KS	415	103.3	122	No	No	False	0.934	0.066
248	DE	510	125.6	108	Yes	No	False	0.804	0.196
249	IN	415	199.3	104	No	No	False	0.882	0.118
250	VT	408	222.2	113	No	No	False	0.732	0.268
251	WA	415	157.4	122	No	No	False	0.856	0.144
252	NM	415	160.0	95	Yes	Yes	False	0.532	0.468
253	MO	415	83.5	96	No	No	False	0.784	0.216
254	IA	510	134.0	112	No	Yes	False	0.814	0.186
255	WA	510	176.6	65	No	Yes	False	0.832	0.168
256	CT	510	174.8	127	Yes	Yes	True	0.268	0.732
257	NH	510	221.3	140	No	No	False	0.856	0.144
258	LA	415	141.1	84	No	No	False	0.76	0.24
259	ME	408	166.4	92	No	Yes	False	0.546	0.454
260	MT	415	215.9	93	No	No	False	0.816	0.184
261	ID	415	181.6	91	No	Yes	False	0.716	0.284
262	UT	415	106.4	84	No	No	False	0.922	0.078
263	IL	510	128.2	71	No	No	False	0.764	0.236
264	AZ	510	178.7	56	No	No	True	0.446	0.554
265	ID	510	150.9	79	No	No	False	0.726	0.274
266	TX	415	168.0	116	No	No	False	0.744	0.256
267	MT	415	182.8	122	No	Yes	False	0.894	0.106
268	PA	415	193.7	108	Yes	No	True	0.252	0.748
269	RI	415	197.2	97	Yes	No	True	0.36	0.64
270	NH	415	76.1	121	No	No	False	0.894	0.106
271	UT	415	182.3	115	No	No	False	0.956	0.044
272	NH	408	189.3	95	No	Yes	False	0.706	0.294
273	AK	415	160.1	107	No	Yes	False	0.672	0.328
274	AZ	415	220.7	105	No	No	False	0.674	0.326
275	NJ	415	211.8	115	No	No	False	0.874	0.126
276	MI	415	229.7	129	No	No	False	0.584	0.416
277	ID	415	220.7	106	No	No	False	0.908	0.092
278	OR	408	87.6	76	No	No	False	0.94	0.06
279	UT	415	266.3	90	No	No	False	0.62	0.38
280	LA	415	141.1	92	No	No	False	0.802	0.198
281	WI	415	200.9	92	No	No	False	0.98	0.02
282	ID	415	96.8	92	No	No	False	0.816	0.184
283	TN	510	172.0	145	No	No	False	0.902	0.098
284	NV	408	221.4	114	No	Yes	False	0.904	0.096
285	WY	415	243.7	124	No	No	False	0.83	0.17
286	IL	415	210.5	101	No	Yes	False	0.936	0.064
287	MA	415	284.4	89	No	No	False	0.518	0.482
288	AZ	408	169.7	84	No	No	False	0.734	0.266
289	ND	510	227.2	89	No	No	False	0.818	0.182
290	SD	415	223.9	75	No	No	False	0.898	0.102
291	ND	415	169.4	102	No	No	False	0.934	0.066
292	CT	408	118.1	90	No	No	False	0.946	0.054
293	MO	415	202.4	115	No	No	False	0.756	0.244
294	NJ	510	155.7	110	No	No	False	0.836	0.164
295	NC	415	246.4	107	No	No	False	0.67	0.33
296	UT	415	189.8	110	No	No	False	0.76	0.24
297	WI	408	167.8	88	No	No	False	0.7	0.3
298	MT	510	143.2	80	No	No	True	0.394	0.606
299	MS	415	82.3	105	No	Yes	True	0.468	0.532
300	NM	408	165.6	104	No	No	False	0.886	0.114
301	SD	408	165.7	78	No	Yes	False	0.936	0.064
302	VA	415	176.1	90	No	No	False	0.696	0.304
303	NM	510	119.7	148	No	No	False	0.726	0.274
304	VA	415	99.9	84	No	Yes	False	0.808	0.192
305	NJ	510	239.8	107	No	No	False	0.882	0.118
306	TN	415	164.5	75	No	No	False	0.89	0.11
307	MI	510	220.9	107	No	No	False	0.852	0.148
308	LA	415	128.8	104	No	Yes	False	0.818	0.182
309	NH	510	193.8	62	No	Yes	False	0.816	0.184
310	RI	415	168.6	102	No	No	False	0.964	0.036
311	LA	415	115.9	120	No	Yes	False	0.772	0.228
312	AZ	510	272.4	88	No	No	False	0.768	0.232
313	SC	510	210.0	116	No	Yes	False	0.642	0.358
314	MD	408	223.0	120	No	No	False	0.856	0.144
315	WA	415	139.7	78	No	No	False	0.756	0.244
316	CA	510	136.8	113	No	Yes	False	0.838	0.162
317	NJ	510	154.8	111	No	No	False	0.614	0.386
318	AR	510	192.8	68	No	No	False	0.922	0.078
319	CT	408	103.4	94	No	No	False	0.874	0.126
320	SD	408	147.5	110	No	No	False	0.81	0.19
321	FL	408	178.4	143	No	No	False	0.9	0.1
322	MS	408	148.4	110	No	No	False	0.76	0.24
323	MA	408	148.6	106	No	No	False	0.75	0.25
324	VT	510	97.5	95	No	No	False	0.742	0.258
325	IL	415	185.6	106	No	Yes	False	0.828	0.172
326	CT	408	137.6	108	No	No	False	0.706	0.294
327	KS	415	273.9	119	Yes	No	True	0.162	0.838
328	MA	415	125.3	92	No	Yes	False	0.77	0.23
329	NJ	415	178.8	102	No	No	False	0.542	0.458
330	AR	510	214.9	86	No	Yes	False	0.834	0.166
331	MS	408	163.0	93	No	No	False	0.596	0.404
332	ME	408	115.5	73	No	No	False	0.834	0.166
333	IA	415	137.1	102	No	No	False	0.706	0.294
334	NM	415	132.7	94	No	Yes	False	0.746	0.254
335	TX	415	183.2	103	No	Yes	False	0.912	0.088
336	KY	415	170.5	113	No	No	False	0.898	0.102
337	AZ	510	154.0	133	No	No	True	0.168	0.832
338	TN	408	54.8	92	No	No	False	0.778	0.222
339	WV	510	184.8	74	No	No	False	0.914	0.086
340	CT	415	283.1	112	No	Yes	False	0.802	0.198
341	NH	408	68.4	86	No	No	False	0.61	0.39
342	MD	510	131.4	78	Yes	No	True	0.138	0.862
343	WV	408	162.0	104	No	No	False	0.87	0.13
344	KY	415	148.2	82	No	No	False	0.682	0.318
345	WY	415	174.7	83	No	No	False	0.616	0.384
346	GA	510	194.5	97	No	No	False	0.874	0.126
347	AK	408	150.0	91	No	Yes	False	0.95	0.05
348	CT	408	231.9	56	No	Yes	False	0.828	0.172
349	OR	415	269.0	120	No	No	True	0.38	0.62
350	OK	415	198.7	127	No	Yes	False	0.868	0.132
351	MA	415	293.7	89	No	No	True	0.322	0.678
352	DE	415	175.8	96	No	Yes	False	0.854	0.146
353	OH	415	169.5	93	No	No	False	0.82	0.18
354	ID	415	225.2	116	Yes	Yes	True	0.154	0.846
355	MO	510	129.7	84	No	No	True	0.174	0.826
356	NC	510	95.9	87	No	Yes	False	0.752	0.248
357	HI	408	170.6	97	No	No	False	0.87	0.13
358	NJ	415	191.4	124	No	No	False	0.886	0.114
359	MS	510	75.3	96	No	No	False	0.8	0.2
360	MN	408	128.8	86	No	No	False	0.548	0.452
361	RI	415	141.7	95	No	No	False	0.944	0.056
362	NJ	415	268.7	120	No	No	False	0.544	0.456
363	MN	415	255.3	114	No	No	False	0.528	0.472
364	WI	408	239.4	94	No	Yes	False	0.93	0.07
365	KS	510	158.0	110	No	No	False	0.96	0.04
366	NJ	415	182.3	64	No	No	False	0.828	0.172
367	ND	415	91.5	125	No	Yes	False	0.796	0.204
368	WY	415	172.4	132	No	No	False	0.846	0.154
369	LA	510	174.5	127	No	No	False	0.886	0.114
370	AL	510	157.3	83	No	No	False	0.902	0.098
371	TX	415	192.0	97	No	Yes	False	0.898	0.102
372	AR	510	160.7	69	No	No	False	0.906	0.094
373	GA	510	227.4	90	No	No	False	0.774	0.226
374	KY	408	191.6	115	No	No	False	0.814	0.186
375	NE	510	225.0	110	No	No	False	0.576	0.424
376	ND	408	196.1	103	No	No	False	0.878	0.122
377	NH	415	231.3	100	No	No	False	0.758	0.242
378	IN	415	209.2	82	No	Yes	False	0.9	0.1
379	OR	415	221.3	82	No	Yes	False	0.774	0.226
380	OH	408	139.6	94	No	No	False	0.684	0.316
381	KS	510	183.9	83	No	Yes	False	0.876	0.124
382	TX	415	203.3	108	No	No	False	0.78	0.22
383	DC	415	185.4	87	No	Yes	False	0.628	0.372
384	OR	510	240.8	102	No	Yes	False	0.916	0.084
385	WA	408	276.1	82	No	No	True	0.196	0.804
386	NC	408	179.7	144	No	Yes	False	0.904	0.096
387	TX	510	81.9	75	No	No	False	0.76	0.24
388	WI	510	248.6	91	No	Yes	False	0.898	0.102
389	SC	510	157.1	77	No	Yes	False	0.832	0.168
390	SD	415	153.0	123	No	No	False	0.916	0.084
391	OH	415	218.8	123	No	No	False	0.65	0.35
392	HI	408	197.9	99	No	Yes	False	0.936	0.064
393	KY	415	166.5	129	No	No	False	0.794	0.206
394	OH	415	225.4	79	No	Yes	False	0.912	0.088
395	AL	415	210.3	66	No	No	False	0.902	0.098
396	VT	415	231.7	110	No	Yes	False	0.92	0.08
397	ND	408	189.5	99	No	No	False	0.932	0.068
398	WA	408	70.8	94	No	No	True	0.192	0.808
399	CT	415	131.8	82	No	No	False	0.878	0.122
400	DE	510	250.6	85	Yes	No	False	0.692	0.308
401	HI	415	281.3	124	No	No	True	0.37	0.63
402	MI	415	129.3	123	Yes	Yes	False	0.718	0.282
403	ND	510	238.0	82	No	No	False	0.594	0.406
404	NE	415	211.1	103	No	No	False	0.7	0.3
405	NE	415	169.4	102	No	No	False	0.894	0.106
406	KY	408	177.1	97	No	No	False	0.956	0.044
407	KS	415	174.6	107	No	Yes	False	0.848	0.152
408	ND	415	150.3	101	No	No	False	0.644	0.356
409	KY	408	157.8	83	No	Yes	False	0.516	0.484
410	ME	510	118.0	133	No	No	False	0.922	0.078
411	MT	415	144.5	35	No	Yes	False	0.866	0.134
412	IL	408	183.8	111	No	No	False	0.86	0.14
413	ME	415	191.7	109	No	Yes	False	0.75	0.25
414	SC	415	153.6	93	No	Yes	False	0.84	0.16
415	IL	408	171.2	138	Yes	Yes	True	0.184	0.816
416	WA	415	240.1	115	No	No	False	0.784	0.216
417	NE	408	83.8	121	No	No	False	0.942	0.058
418	IL	415	269.6	121	Yes	No	False	0.52	0.48
419	VT	415	136.2	92	No	No	False	0.758	0.242
420	KS	408	269.2	104	No	No	False	0.528	0.472
421	ND	408	219.6	97	No	No	False	0.65	0.35
422	CO	408	236.2	122	No	No	False	0.634	0.366
423	TX	408	260.9	85	No	No	False	0.778	0.222
424	CA	408	249.8	109	No	No	True	0.262	0.738
425	MS	510	268.8	78	No	Yes	False	0.85	0.15
426	RI	415	140.1	59	No	Yes	False	0.948	0.052
427	NM	415	193.7	108	No	No	False	0.864	0.136
428	VA	415	224.7	116	No	No	False	0.804	0.196
429	TX	415	190.9	143	No	No	False	0.908	0.092
430	NM	415	232.1	74	No	No	False	0.558	0.442
431	RI	415	90.6	130	No	No	False	0.844	0.156
432	NY	510	152.9	81	No	No	False	0.842	0.158
433	WA	415	241.2	105	No	No	False	0.584	0.416
434	NE	415	200.3	72	Yes	Yes	True	0.2	0.8
435	ID	510	97.2	88	No	No	False	0.9	0.1
436	WV	510	224.3	112	No	No	False	0.846	0.154
437	NE	408	267.1	104	No	No	True	0.412	0.588
438	RI	415	215.5	129	No	Yes	False	0.818	0.182
439	CT	408	239.1	105	No	Yes	False	0.76	0.24
440	RI	415	62.9	112	Yes	No	False	0.782	0.218
441	IA	408	210.9	85	No	No	False	0.704	0.296
442	MS	510	313.2	103	No	No	True	0.34	0.66
443	ME	415	132.0	95	No	No	False	0.932	0.068
444	MS	415	245.5	54	Yes	Yes	True	0.394	0.606
445	VA	415	134.1	112	No	No	False	0.742	0.258
446	PA	415	144.5	107	No	No	False	0.758	0.242
447	NE	415	150.0	98	No	No	False	0.716	0.284
448	MI	415	270.7	53	No	Yes	False	0.844	0.156
449	MD	415	256.0	111	No	No	False	0.668	0.332
450	AR	408	154.6	56	No	No	False	0.9	0.1
451	FL	510	165.4	84	No	No	False	0.882	0.118
452	KY	415	168.3	96	No	No	False	0.93	0.07
453	IN	415	191.4	102	No	Yes	False	0.904	0.096
454	FL	415	158.7	90	No	No	False	0.692	0.308
455	IL	415	195.5	113	Yes	Yes	True	0.154	0.846
456	AL	415	264.4	102	No	Yes	False	0.856	0.144
457	MT	408	273.2	85	No	No	True	0.374	0.626
458	WI	510	159.5	103	No	No	False	0.84	0.16
459	NY	510	145.6	102	No	No	False	0.932	0.068
460	WY	510	247.5	99	Yes	No	True	0.344	0.656
461	NY	415	239.7	87	Yes	No	True	0.098	0.902
462	CO	408	109.9	102	No	No	False	0.936	0.064
463	CA	510	239.9	120	No	No	True	0.474	0.526
464	CO	415	197.8	66	No	No	False	0.506	0.494
465	KY	408	115.4	98	No	Yes	False	0.794	0.206
466	ID	415	197.2	113	No	No	False	0.864	0.136
467	HI	408	193.1	104	No	Yes	False	0.762	0.238
468	TX	415	263.1	70	No	Yes	False	0.74	0.26
469	GA	408	197.0	79	No	No	False	0.932	0.068
470	ME	415	201.5	123	No	No	False	0.742	0.258
471	OH	415	173.4	107	No	No	False	0.896	0.104
472	TN	408	101.4	145	No	No	False	0.846	0.154
473	VT	415	232.5	74	No	No	False	0.74	0.26
474	MD	415	174.5	120	No	Yes	False	0.872	0.128
475	NE	415	181.4	98	No	No	False	0.592	0.408
476	WY	415	180.7	82	No	Yes	False	0.626	0.374
477	WV	510	146.8	128	Yes	Yes	True	0.44	0.56
478	MS	415	227.8	124	No	No	True	0.478	0.522
479	OH	415	160.3	87	No	Yes	False	0.98	0.02
480	AK	408	175.2	74	No	No	False	0.814	0.186
481	IN	415	116.9	127	No	Yes	False	0.89	0.11
482	WA	510	152.2	114	No	No	False	0.898	0.102
483	RI	408	167.8	72	No	No	False	0.572	0.428
484	AL	415	262.9	135	No	Yes	False	0.8	0.2
485	MT	408	141.8	116	No	Yes	False	0.956	0.044
486	NM	415	167.5	96	No	No	False	0.93	0.07
487	OH	408	147.2	115	No	No	False	0.624	0.376
488	LA	415	145.1	116	No	No	False	0.766	0.234
489	MO	415	135.2	101	No	No	False	0.766	0.234
490	DC	408	124.7	105	No	Yes	False	0.962	0.038
491	TN	510	174.0	57	No	No	False	0.916	0.084
492	WA	510	265.2	122	No	No	False	0.63	0.37
493	RI	415	143.3	134	No	No	False	0.686	0.314
494	RI	408	113.0	108	No	No	False	0.742	0.258
495	OR	415	211.2	117	Yes	Yes	True	0.232	0.768
496	MA	408	157.9	72	No	No	False	0.832	0.168
497	NC	408	182.2	101	No	No	False	0.64	0.36
498	IA	510	141.4	130	No	Yes	False	0.852	0.148
